SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22014,2749,Jameer Nelson,1610612742,DAL,Dallas Mavericks,Spotup,Offensive,0.536,23,0.337,0.957,0.354,0.0,0.071,0.0,0.0,0.329,0.515,3.0,2.9,1.0,2.8,1.8
22014,201579,Roy Hibbert,1610612754,IND,Indiana Pacers,Spotup,Offensive,0.715,76,0.069,1.048,0.525,0.016,0.016,0.016,0.0,0.524,0.525,0.8,0.9,0.4,0.8,0.4
22014,203900,Markel Brown,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.276,47,0.308,0.805,0.284,0.061,0.037,0.024,0.0,0.317,0.378,1.7,1.4,0.4,1.6,1.1
22014,2590,Mo Williams,1610612750,MIN,Minnesota Timberwolves,Spotup,Offensive,0.584,41,0.113,0.985,0.385,0.0,0.015,0.0,0.0,0.379,0.5,1.6,1.6,0.6,1.6,1.0
22014,1890,Shawn Marion,1610612739,CLE,Cleveland Cavaliers,Spotup,Offensive,0.254,57,0.262,0.783,0.301,0.072,0.048,0.072,0.0,0.337,0.37,1.5,1.1,0.4,1.3,0.9
22014,201589,Darrell Arthur,1610612743,DEN,Denver Nuggets,Spotup,Offensive,0.074,59,0.234,0.607,0.265,0.028,0.056,0.028,0.0,0.271,0.311,1.8,1.1,0.4,1.7,1.2
22014,203469,Cody Zeller,1610612766,CHA,Charlotte Hornets,Spotup,Offensive,0.066,62,0.219,0.586,0.296,0.036,0.081,0.036,0.0,0.297,0.301,1.8,1.0,0.5,1.6,1.1
22014,2419,Tayshaun Prince,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.488,27,0.327,0.928,0.373,0.029,0.0,0.014,0.0,0.391,0.455,2.6,2.4,0.9,2.5,1.6
22014,202397,Ish Smith,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.488,25,0.167,0.928,0.4,0.014,0.058,0.014,0.014,0.377,0.485,2.8,2.6,1.0,2.6,1.6
22014,2749,Jameer Nelson,1610612743,DEN,Denver Nuggets,Spotup,Offensive,0.721,34,0.165,1.05,0.436,0.017,0.067,0.017,0.0,0.417,0.564,1.8,1.9,0.7,1.6,0.9
22014,1495,Tim Duncan,1610612759,SAS,San Antonio Spurs,Spotup,Offensive,0.663,77,0.057,1.016,0.483,0.032,0.0,0.032,0.0,0.5,0.492,0.8,0.8,0.4,0.8,0.4
22014,201571,D.J. Augustin,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.462,54,0.107,0.913,0.354,0.029,0.043,0.029,0.014,0.348,0.462,1.3,1.2,0.4,1.2,0.8
22014,2419,Tayshaun Prince,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.422,23,0.37,0.887,0.406,0.0,0.028,0.0,0.0,0.394,0.457,3.1,2.7,1.2,3.0,1.8
22014,204037,Travis Wear,1610612752,NYK,New York Knicks,Spotup,Offensive,0.556,51,0.251,0.969,0.433,0.031,0.031,0.031,0.0,0.438,0.492,1.3,1.2,0.5,1.2,0.7
